passport - biometrics,hmpo.passportBiometrics,HMPO,"visaAndImmigration.immigrationStatusBiometrics, visaAndImmigration.asylumStatusBiometrics, visaAndImmigration.visaStatusBiometrics",structured,shared,
"bail, accommodation and support services",hmpps.bailAccommodationAndSupportServices,HMPPS,,structured,closed,
community rehabilitation companies,hmpps.communityRehabilitationCompanies,HMPPS,hmpps.custodyAndContracts.incidents,structured,closed,
prisoner escort court service,hmpps.corporate.prisonerEscortCourtService,HMPPS,,structured,closed,
staff,hmpps.corporate.staff,HMPPS,,structured,closed,
accidents,hmpps.custody.accidents,HMPPS,,structured,closed,
foreign national prisoners,hmpps.custody.foreignNationalPrisoners,HMPPS,,structured,closed,
intelligence,hmpps.custody.intelligence,HMPPS,police.national.intelligence,structured,shared,
public protection casework section,hmpps.custody.publicProtectionCaseworkSection,HMPPS,,structured,closed,
visits,hmpps.custody.visits,HMPPS,,structured,closed,Prison Visits Booking
finance,hmpps.custodyAndCommunities.finance,HMPPS,,structured,closed,
incidents,hmpps.custodyAndCommunities.incidents,HMPPS,,structured,closed,Mercury
offender,hmpps.custodyAndCommunities.offender,HMPPS,"dwp.benefits, hmpps.probation.caseNotes",structured,shared,"PNOMIS, OASYS, NDELIUS, Visor"
offender learning,hmpps.custodyAndCommunities.offenderLearning,HMPPS,,structured,closed,"IAPS, Offender Course Management System"
procurement,hmpps.custodyAndCommunities.procurement,HMPPS,,structured,closed,
programmes/interventions,hmpps.custodyAndCommunities.programmesInterventions,HMPPS,,structured,closed,
incidents,hmpps.custodyAndContracts.incidents,HMPPS,,structured,shared,
audits / inspections,hmpps.custodyCommunityAndContracts.auditsInspections,HMPPS,hmpps.privatePrisons,structured,closed,
electronic monitoring,hmpps.electronicMonitoring,HMPPS,,structured,closed,
private prisons,hmpps.privatePrisons,HMPPS,hmpps.custodyAndContracts.incidents,structured,closed,
case notes,hmpps.probation.caseNotes,HMPPS,,structured,shared,
HMRC,HMRC,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
forced marriage unit,homeOffice.forcedMarriageUnit,Home Office,"officeOfThePublicGuardian.deputyships, officeOfThePublicGuardian.lastingPowersOfAttorney",structured,shared,
home office,homeOffice.homeOffice,Home Office,,structured,,
Independent Monitoring Board,independentMonitoringBoard,Independent Monitoring Board,hmpps.custodyCommunityAndContracts.auditsInspections,structured,shared,
non-EU convictions of UK Nationals,international.nonEUConvictionsOfUKNationals,International,,structured,,
Judicial Appointments Commission,judicialAppointmentsCommission,Judicial Appointments Commission,,structured,,
case information,laa.caseInformation,LAA,,structured,closed,Data Warehouse
case work - global,laa.caseWorkGlobal,LAA,"hmcts, costsDraftsmen",structured,shared,Data Warehouse
case work local,laa.caseWorkLocal,LAA,"hmcts.cases, costsDraftsmen",structured,shared,Data Warehouse
client details,laa.clientDetails,LAA,,structured,closed,Data Warehouse
debt,laa.debt,LAA,debtCollectionAgencies,structured,shared,
expenditure,laa.expenditure,LAA,,structured,closed,
legal aid suppliers,laa.legalAidSuppliers,LAA,,structured,closed,
means assessment results,laa.meansAssessment,LAA,,structured,closed,Data Warehouse
Legal Services Board,legalServicesBoard,Legal Services Board,,structured,,
Local Authorities,localAuthorities,Local Authorities,"youthOffendingInstitutions, secureChildrensHomes, secureTrainingCentres, yjb.case, educationProviders, NHS.medicalRecords, youthOffendingTeams",structured,shared,
Medicines control,medicinesControl,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
Briefs,moj.corporate.briefs,MOJ Corporate,,structured,closed,
Consultation Responses,moj.corporate.consultationResponses,MOJ Corporate,,structured,closed,
Contracts,moj.corporate.contracts,MOJ Corporate,,structured,closed,
Correspondence,moj.corporate.correspondence,MOJ Corporate,,structured,closed,
Draft Responses to PQs,moj.corporate.draftResponsesToPQs,MOJ Corporate,,structured,closed,
Legal Advice,moj.corporate.legalAdvice,MOJ Corporate,,structured,closed,
Personnel,moj.corporate.personnel,MOJ Corporate,,structured,closed,
Policy Submissions,moj.corporate.policySubmissions,MOJ Corporate,,structured,closed,
motor insurance cover,motorInsuranceBureau.motorInsuranceCover,Motor Insurance Bureau,police,structured,shared,
NHS Medical Records,NHS.medicalRecords,NHS,"youthOffendingInstitutions, secureChildrensHomes, secureTrainingCentres, yjb.case, educationProviders, youthOffendingTeams, localAuthorities, criminalInjuriesCompensationAuthority.cases",structured,shared,
deputyships,officeOfThePublicGuardian.deputyships,Ofice of the Public Guardian,"hmcts.cases, dwp.benefits, homeOffice.forcedMarriageUnit, solicitorsRegulatoryAuthority, financialConductAuthority, ageUK, bondProviders, officeOfThePublicGuardian.investigations",structured,shared,CASREC
documents,officeOfThePublicGuardian.documents,Office of the Public Guardian,"officeOfThePublicGuardian.deputyships, officeOfThePublicGuardian.lastingPowersOfAttorney, officeOfThePublicGuardian.investigations",structured,closed,
investigations,officeOfThePublicGuardian.investigations,Office of the Public Guardian,banks,structured,closed,
legal powers of attorney,officeOfThePublicGuardian.lastingPowersOfAttorney,Office of the Public Guardian,"hmcts.cases, dwp.benefits, homeOffice.forcedMarriageUnit, solicitorsRegulatoryAuthority, financialConductAuthority, ageUK, officeOfThePublicGuardian.investigations",structured,open,"MERIS, SIRIUS"
Other Prosecuting Authorities,otherProsecutingAuthorities,Other Prosecuting Authorities,,structured,,
Parole Board,paroleBoard,Parole Board,,structured,,
999,police.999,Police,police.events,structured,closed,
arrest details,police.arrestDetails,Police,,structured,closed,"Niche, Athena"
Identity of arrested persons - biographics,police.arrestedPersonsID.biographics,Police,"police.commandAndControl, visaAndImmigration.immigrationStatusBiographics, visaAndImmigration.asylumStatusBiographics, visaAndImmigration.visaStatusBiographics, borderForce",structured,shared,
Identities at crime scenes- biometric,police.arrestedPersonsID.biometrics,Police,"police.commandAndControl, visaAndImmigration.immigrationStatusBiometrics, visaAndImmigration.asylumStatusBiometrics, visaAndImmigration.visaStatusBiometrics, borderForce, police.national.disposals",structured,shared,
ballistics,police.ballistics,Police,,structured,closed,
child abuse images,police.childAbuseImages,Police,,unstructured,closed,
collisions,police.collisions,Police,,structured,closed,
Case Information,police.commandAndControl.caseInformation,Police,,structured,,
defendent interview,police.commandAndControl.defendentInterview,Police,"laa.caseInformation, criminalInjuriesCompensationAuthority.cases",structured,shared,
notes,police.commandAndControl.notes,Police,criminalInjuriesCompensationAuthority.cases,structured,shared,
persons,police.commandAndControl.persons,Police,,structured,shared,
suspect risk,police.commandAndControl.suspectRisk,Police,,structured,closed,
written statements,police.commandAndControl.writtenStatements,Police,"defenseFirms, laa.caseInformation, criminalInjuriesCompensationAuthority.cases",structured,shared,
driver record,police.driverRecord,Police,,unstructured,closed,
driver retraining,police.driverRetraining,Police,,structured,closed,
events,police.events,Police,police.commandAndControl,structured,closed,
footwear,police.footwear,Police,,structured,closed,
Highly Sensitive Unused Materials,police.highlySensitiveUnusedMaterial,Police,,,,
intelligence systems,police.intelligenceSystems,Police ,,structured,closed,
missing,police.missing,Police,police.events,structured,closed,
multimedia evidence,police.multimediaEvidence,Police ,,unstructured,shared,
number plate recognition (ANPR),police.NAS.ANPR,DVLA,police.national.vehiclesUsedInCrime,structured,shared,
bail,police.national.bail,Police,,structured,closed,"PND, PNC"
biometric interface ,police.national.biometricInterface ,Police ,,structured,closed,"PND, PNC"
case & custody records,police.national.caseAndCustodyRecords,Police ,police.national.custody,structured,closed,"PND, PNC, Niche, Athena"
child abuse,police.national.childAbuse,Police,,structured,closed,"PND, PNC"
crime,police.national.crime,Police,,structured,closed,"PND, PNC"
custody,police.national.custody,Police,police.national.custodyImages,structured,closed,"PND, PNC"
custody images,police.national.custodyImages,Police ,police.national.caseAndCustodyRecords,unstructured,closed,"PND, PNC, Niche, Athena"
disposals,police.national.disposals,Police,police.arrestedPersonsID.biometrics,structured,closed,"PND, PNC"
disqualified drivers ,police.national.disqualifiedDrivers,Police,dvla,structured,shared,
domestic abuse,police.national.domesticAbuse,Police,,structured,closed,"PND, PNC"
EU nationals disposals,police.national.EUNationalsDisposals,Police,,structured,shared,"PND, PNC"
intelligence,police.national.intelligence,Police,"hmpps.custody.intelligence, police.trident.tensionSummary",structured,shared,"PND, PNC"
property ,police.national.property ,Police,"dvla, hmpo",structured,shared,"PND, PNC"
vehicles used in crime,police.national.vehiclesUsedInCrime,Police,,structured,closed,"PND, PNC"
,police.national.vehiclesUsedInCrime,,,,,
substance testing,police.substanceTesting,Police,,structured,closed,
tension summary,police.trident.tensionSummary,Police,hmpps.custody.intelligence,structured,shared,
wanted,police.wanted,Police,"police.events, borderForce, european.SISII, european.EU27, european.alerts, european.persons, european.property, european.travelDocuments",structured,shared,
Post Office,postOffice,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
cases,publicDefenderService.cases,public defender service,laa.caseWorkGlobal,structured,shared,"PND, PNC"
Public Prosecution Service (DPPNI),publicProsecutionService,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
RSPCA,RSPCA,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
secure children's homes,secureChildrensHomes,secure children's homes,"youthOffendingInstitutions, youthOffendingTeams, secureTrainingCentres, yjb.case, educationProviders, NHS.medicalRecords, localAuthorities",structured,shared,
secure training centres,secureTrainingCentres,secure training centres,"youthOffendingInstitutions, secureChildrensHomes, youthOffendingTeams, yjb.case, educationProviders, NHS.medicalRecords, localAuthorities",structured,shared,
staff vetting,securityIndustryAuthority.staffVetting,Security Industry Authority,,structured,shared,
UK immigration ,securityIndustryAuthority.UKImmigration,Security Industry Authority,"visaAndImmigration.inOutUK, borderForce",structured,shared,
Serious Fraud Office ,seriousFraudOffice,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
Solicitors Regulatory Authority,solicitorsRegulatoryAuthority,Solicitors Regulatory Authority,,structured,,
Train Operating Companies,trainOperatingCompanies,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
Transport For London,transportForLondon,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
Access Northern Ireland,vetting.accessNorthernIreland,Disclosure & Barring Service ,securityIndustryAuthority.staffVetting,structured,shared,
Disclosure and Barring Service,vetting.disclosureAndBarringService,Disclosure & Barring Service ,securityIndustryAuthority.staffVetting,structured,shared,
Disclosure Scotland,vetting.disclosureScotland,Disclosure & Barring Service ,securityIndustryAuthority.staffVetting,structured,shared,
victim impact statement,victim impact statement,Police,cps,structured,shared,
asylum status biographics,visaAndImmigration.asylumStatusBiographics,VisaAndImmigration,hmpo.passportBiographics,structured,shared,
asylum status biometrics,visaAndImmigration.asylumStatusBiometrics,VisaAndImmigration,hmpo.passportBiometrics,structured,shared,
immigration status biographics,visaAndImmigration.immigrationStatusBiographics,VisaAndImmigration,hmpo.passportBiographics,structured,shared,
immigration status biometrics,visaAndImmigration.immigrationStatusBiometrics,VisaAndImmigration,hmpo.passportBiometrics,structured,shared,
in / out UK,visaAndImmigration.inOutUK,VisaAndImmigration,,structured,closed,
visa status biographics,visaAndImmigration.visaStatusBiographics,VisaAndImmigration,hmpo.passportBiographics,structured,shared,
visa status biometrics,visaAndImmigration.visaStatusBiometrics,VisaAndImmigration,hmpo.passportBiometrics,structured,shared,
assessments,yjb.case.assessments,YJB,"hmpps, police, youthOffendingInstitutions, secureChildrensHomes, youthOffendingTeams, secureTrainingCentres, educationProviders, NHS.medicalRecords, localAuthorities",structured,shared,"eAsset, YJB application framework"
court hearings ,yjb.case.courtHearings ,YJB,"hmpps, police, youthOffendingInstitutions, secureChildrensHomes, youthOffendingTeams, secureTrainingCentres, educationProviders, NHS.medicalRecords, localAuthorities",structured,shared,"eAsset, YJB application framework"
health,yjb.case.health,YJB,"hmpps, police, youthOffendingInstitutions, secureChildrensHomes, youthOffendingTeams, secureTrainingCentres, educationProviders, NHS.medicalRecords, localAuthorities",structured,shared,"eAsset, YJB application framework"
intelligence,yjb.case.intelligence,YJB,"hmpps, police, youthOffendingInstitutions, secureChildrensHomes, youthOffendingTeams, secureTrainingCentres, educationProviders, NHS.medicalRecords, localAuthorities",structured,shared,"eAsset, YJB application framework"
interventions,yjb.case.interventions,YJB,"hmpps, police, youthOffendingInstitutions, secureChildrensHomes, youthOffendingTeams, secureTrainingCentres, educationProviders, NHS.medicalRecords, localAuthorities",structured,shared,"eAsset, YJB application framework"
offences,yjb.case.offences,YJB,"hmpps, police, youthOffendingInstitutions, secureChildrensHomes, youthOffendingTeams, secureTrainingCentres, educationProviders, NHS.medicalRecords, localAuthorities",structured,shared,"eAsset, YJB application framework"
placements,yjb.case.placements,YJB,"hmpps, police, youthOffendingInstitutions, secureChildrensHomes, youthOffendingTeams, secureTrainingCentres, educationProviders, NHS.medicalRecords, localAuthorities",structured,shared,"eAsset, YJB application framework"
contract management and monitoring,yjb.contractManagementAndMonitoring,YJB,,structured,closed,
convictions & preventions,yjb.convictionsAndPreventions,YJB,"hmpps, police",structured,shared,
MI,yjb.MI,YJB,,structured,closed,
minimising and managing physical restraint (MMPR),yjb.minimisingAndManagingPhysicalRestraint,YJB,,structured,closed,
quarterly YOT submissions,yjb.quarterlyYOTSubmissions,YJB,,structured,closed,
sentence & risk management,yjb.sentenceAndRiskManagement,YJB,"hmpps, police",structured,shared,
serious incidents in the community,yjb.seriousIncidentsInTheCommunity,YJB,"hmpps, police",structured,shared,
Youth Offending Institution,youthOffendingInstitutions,Youth Offending Institution,"youthOffendingTeams, secureChildrensHomes, secureTrainingCentres, yjb.case, educationProviders, NHS.medicalRecords, localAuthorities",structured,shared,"PNOMIS, eAsset"
Youth Offending Team,youthOffendingTeams,Youth Offending Team,"youthOffendingInstitutions, secureChildrensHomes, secureTrainingCentres, yjb.case, educationProviders, NHS.medicalRecords, localAuthorities, police.intelligenceSystems",structured,shared,"PNOMIS, eAsset"
